Timestamp,Symbol,Ask,Bid
2026-02-26 23:33:29.024,XAUUSD,5190.890,5190.850
2026-02-26 23:33:30.045,XAUUSD,5190.890,5190.850
2026-02-26 23:33:31.025,XAUUSD,5190.890,5190.850
2026-02-26 23:33:32.022,XAUUSD,5190.890,5190.850
2026-02-26 23:33:33.041,XAUUSD,5190.890,5190.850
2026-02-26 23:33:34.038,XAUUSD,5190.890,5190.850
2026-02-26 23:33:35.034,XAUUSD,5190.890,5190.850
2026-02-26 23:33:36.026,XAUUSD,5190.890,5190.850
2026-02-26 23:33:37.021,XAUUSD,5190.890,5190.850
2026-02-26 23:33:38.045,XAUUSD,5190.890,5190.850
2026-02-26 23:33:39.020,XAUUSD,5190.890,5190.850
2026-02-26 23:33:40.022,XAUUSD,5190.890,5190.850
2026-02-26 23:33:41.033,XAUUSD,5190.890,5190.850
2026-02-26 23:33:42.032,XAUUSD,5190.890,5190.850
2026-02-26 23:33:43.025,XAUUSD,5190.890,5190.850
2026-02-26 23:33:44.021,XAUUSD,5190.890,5190.850
2026-02-26 23:33:45.031,XAUUSD,5190.890,5190.850
2026-02-26 23:33:46.027,XAUUSD,5190.890,5190.850
2026-02-26 23:33:47.023,XAUUSD,5190.890,5190.850
2026-02-26 23:33:48.025,XAUUSD,5190.890,5190.850
2026-02-26 23:33:49.026,XAUUSD,5190.890,5190.850
2026-02-26 23:33:50.033,XAUUSD,5190.890,5190.850
2026-02-26 23:33:51.028,XAUUSD,5190.890,5190.850
2026-02-26 23:33:52.022,XAUUSD,5190.890,5190.850
2026-02-26 23:33:53.032,XAUUSD,5190.890,5190.850
2026-02-26 23:33:54.038,XAUUSD,5190.890,5190.850
2026-02-26 23:33:55.035,XAUUSD,5190.890,5190.850
2026-02-26 23:33:56.032,XAUUSD,5190.890,5190.850
2026-02-26 23:33:57.025,XAUUSD,5190.890,5190.850
2026-02-26 23:33:58.027,XAUUSD,5190.890,5190.850
2026-02-26 23:33:59.026,XAUUSD,5190.890,5190.850
2026-02-26 23:34:00.019,XAUUSD,5190.890,5190.850
2026-02-26 23:34:01.031,XAUUSD,5190.890,5190.850
2026-02-26 23:34:02.028,XAUUSD,5190.890,5190.850
2026-02-26 23:34:03.025,XAUUSD,5190.890,5190.850
2026-02-26 23:34:04.019,XAUUSD,5190.890,5190.850
2026-02-26 23:34:05.022,XAUUSD,5190.890,5190.850
2026-02-26 23:34:06.036,XAUUSD,5190.890,5190.850
2026-02-26 23:34:07.036,XAUUSD,5190.890,5190.850
2026-02-26 23:34:08.037,XAUUSD,5190.890,5190.850
2026-02-26 23:34:09.042,XAUUSD,5190.890,5190.850
2026-02-26 23:34:10.040,XAUUSD,5190.890,5190.850
2026-02-26 23:34:11.043,XAUUSD,5190.890,5190.850
2026-02-26 23:34:12.025,XAUUSD,5190.890,5190.850
2026-02-26 23:34:13.019,XAUUSD,5190.890,5190.850
2026-02-26 23:34:14.018,XAUUSD,5190.890,5190.850
2026-02-26 23:34:15.023,XAUUSD,5190.890,5190.850
2026-02-26 23:34:16.027,XAUUSD,5190.890,5190.850
2026-02-26 23:34:17.020,XAUUSD,5190.890,5190.850
2026-02-26 23:34:18.020,XAUUSD,5190.890,5190.850
2026-02-26 23:34:19.028,XAUUSD,5190.890,5190.850
2026-02-26 23:34:20.023,XAUUSD,5190.890,5190.850
2026-02-26 23:34:21.076,XAUUSD,5190.890,5190.850
2026-02-26 23:34:22.080,XAUUSD,5190.890,5190.850
2026-02-26 23:34:23.028,XAUUSD,5190.890,5190.850
2026-02-26 23:34:24.023,XAUUSD,5190.890,5190.850
2026-02-26 23:34:25.025,XAUUSD,5190.890,5190.850
2026-02-26 23:34:26.020,XAUUSD,5190.890,5190.850
2026-02-26 23:34:27.027,XAUUSD,5190.890,5190.850
2026-02-26 23:34:28.023,XAUUSD,5190.890,5190.850
2026-02-26 23:34:29.019,XAUUSD,5190.890,5190.850
2026-02-26 23:34:30.018,XAUUSD,5190.890,5190.850
2026-02-26 23:34:31.024,XAUUSD,5190.890,5190.850
2026-02-26 23:34:32.023,XAUUSD,5190.890,5190.850
